語	1	2022	2022.0	2.5266788293804514
言	2	1992	1011.0	2.489191012920801
一	3	1208	674.0	1.5095094094419315
葉	4	904	505.5	1.1296328693174718
思	5	896	404.40000000000003	1.119636118261565
的	6	845	337.0	1.0559068302801589
方	7	830	288.85714285714283	1.0371629220503336
十	8	792	252.75	0.9896783545347762
研	9	740	224.66666666666666	0.9246994726713818
究	10	737	202.20000000000002	0.9209506910254167
文	11	729	183.8181818181818	0.9109539399695099
私	12	691	168.5	0.8634693724539525
人	13	682	155.53846153846155	0.8522230275160573
考	14	650	144.42857142857142	0.8122360232924299
大	15	635	134.8	0.7934921150626046
国	16	613	126.375	0.7660010496588608
二	17	609	118.94117647058823	0.7610026741309075
分	18	609	112.33333333333333	0.7610026741309075
調	19	603	106.42105263157895	0.7535051108389773
書	20	603	101.10000000000001	0.7535051108389773
年	21	586	96.28571428571428	0.7322620148451753
本	22	581	91.9090909090909	0.7260140454352335
今	23	554	87.91304347826086	0.692275010621548
話	24	552	84.25	0.6897758228575713
中	25	536	80.88	0.6697823207457576
上	26	524	77.76923076923077	0.6547871941618973
出	27	522	74.88888888888889	0.6522880063979207
詞	28	485	72.21428571428571	0.6060530327643516
査	29	482	69.72413793103448	0.6023042511183865
合	30	479	67.4	0.5985554694724214
意	31	474	65.2258064516129	0.5923075000624797
学	32	469	63.1875	0.5860595306525379
所	33	463	61.27272727272727	0.5785619673606078
三	34	462	59.470588235294116	0.5773123734786194
何	35	457	57.77142857142857	0.5710644040686776
表	36	456	56.166666666666664	0.5698148101866893
問	37	455	54.64864864864865	0.568565216304701
々	38	455	53.21052631578947	0.568565216304701
日	39	455	51.84615384615385	0.568565216304701
題	40	421	50.550000000000004	0.526079024317097
場	41	409	49.31707317073171	0.5110838977332367
間	42	406	48.14285714285714	0.5073351160872717
用	43	389	47.02325581395349	0.48609202009346963
基	44	382	45.95454545454545	0.47734486291955114
字	45	379	44.93333333333334	0.4735960812735861
常	46	378	43.95652173913043	0.47234648739159774
度	47	377	43.02127659574468	0.47109689350960937
使	48	371	42.125	0.46359933021767924
味	49	368	41.265306122448976	0.4598505485717142
非	50	355	40.44	0.4436058281058656
行	51	353	39.64705882352941	0.4411066403418889
見	52	349	38.88461538461539	0.4361082648139355
体	53	340	38.15094339622642	0.4248619198760403
生	54	335	37.44444444444444	0.4186139504660985
現	55	326	36.76363636363636	0.40736760552820334
部	56	323	36.107142857142854	0.4036188238822383
時	57	322	35.473684210526315	0.40236923000024993
例	58	317	34.86206896551724	0.39612126059030817
申	59	313	34.271186440677965	0.3911228850623547
当	60	313	33.7	0.3911228850623547
聞	61	308	33.14754098360656	0.38487491565241294
事	62	308	32.61290322580645	0.38487491565241294
漢	63	308	32.095238095238095	0.38487491565241294
立	64	308	31.59375	0.38487491565241294
関	65	307	31.10769230769231	0.38362532177042463
実	66	304	30.636363636363637	0.37987654012445954
法	67	300	30.17910447761194	0.37487816459650614
動	68	288	29.735294117647058	0.3598830380126459
助	69	279	29.304347826086957	0.3486366930747507
会	70	279	28.885714285714286	0.3486366930747507
変	71	278	28.47887323943662	0.34738709919276234
要	72	273	28.083333333333332	0.34113912978282057
我	73	269	27.6986301369863	0.33614075425486717
通	74	269	27.324324324324326	0.33614075425486717
百	75	269	26.96	0.33614075425486717
目	76	268	26.605263157894736	0.3348911603728788
先	77	265	26.259740259740262	0.33114237872691377
数	78	264	25.923076923076923	0.3298927848449254
入	79	263	25.594936708860757	0.32864319096293704
明	80	262	25.275000000000002	0.3273935970809487
新	81	261	24.962962962962962	0.32614400319896036
五	82	261	24.658536585365855	0.32614400319896036
対	83	259	24.36144578313253	0.32364481543498363
代	84	255	24.07142857142857	0.31864643990703023
四	85	247	23.788235294117648	0.30864968885112337
同	86	243	23.511627906976745	0.30365131332316997
少	87	240	23.241379310344826	0.29990253167720493
自	88	237	22.977272727272727	0.29615375003123984
辞	89	236	22.719101123595504	0.2949041561492515
多	90	231	22.46666666666667	0.2886561867393097
音	91	229	22.219780219780223	0.28615699897533303
理	92	227	21.978260869565215	0.2836578112113563
手	93	224	21.741935483870968	0.27990902956539127
形	94	223	21.51063829787234	0.2786594356834029
彙	95	219	21.28421052631579	0.2736610601554495
違	96	216	21.0625	0.2699122785094844
力	97	209	20.84536082474227	0.26116512133556596
来	98	209	20.632653061224488	0.26116512133556596
名	99	207	20.424242424242426	0.25866593357158923
読	100	204	20.22	0.2549171519256242
前	101	203	20.01980198019802	0.25366755804363583
点	102	202	19.823529411764707	0.25241796416164747
持	103	202	19.631067961165048	0.25241796416164747
性	104	202	19.442307692307693	0.25241796416164747
取	105	199	19.25714285714286	0.2486691825156824
付	106	198	19.07547169811321	0.24741958863369404
定	107	198	18.897196261682243	0.24741958863369404
知	108	193	18.72222222222222	0.24117161922375227
活	109	192	18.55045871559633	0.23992202534176393
解	110	190	18.38181818181818	0.23742283757778723
面	111	189	18.216216216216218	0.23617324369579887
長	112	185	18.053571428571427	0.23117486816784544
教	113	185	17.893805309734514	0.23117486816784544
全	114	184	17.736842105263158	0.2299252742858571
結	115	183	17.582608695652173	0.22867568040386874
番	116	178	17.43103448275862	0.22242771099392697
係	117	178	17.282051282051285	0.22242771099392697
成	118	176	17.135593220338983	0.21992852322995027
万	119	176	16.991596638655462	0.21992852322995027
発	120	171	16.85	0.2136805538200085
単	121	170	16.710743801652892	0.21243095993802014
物	122	169	16.57377049180328	0.2111813660560318
機	123	165	16.439024390243905	0.20618299052807837
第	124	162	16.306451612903224	0.2024342088821133
子	125	161	16.176000000000002	0.20118461500012497
