食	1	185	185.0	4.373522458628842
行	2	158	92.5	3.735224586288416
子	3	156	61.666666666666664	3.6879432624113475
何	4	126	46.25	2.978723404255319
母	5	107	37.0	2.5295508274231677
姉	6	74	30.833333333333332	1.7494089834515367
泣	7	67	26.428571428571427	1.5839243498817968
事	8	64	23.125	1.5130023640661938
見	9	60	20.555555555555554	1.4184397163120568
車	10	58	18.5	1.3711583924349882
水	11	57	16.81818181818182	1.3475177304964538
入	12	53	15.416666666666666	1.2529550827423168
人	13	52	14.230769230769232	1.2293144208037825
出	14	51	13.214285714285714	1.2056737588652482
遊	15	50	12.333333333333334	1.1820330969267139
一	16	48	11.5625	1.1347517730496455
持	17	47	10.882352941176471	1.1111111111111112
書	18	45	10.277777777777777	1.0638297872340425
手	19	43	9.736842105263158	1.016548463356974
茶	20	39	9.25	0.9219858156028369
飲	21	38	8.809523809523808	0.8983451536643026
大	22	38	8.40909090909091	0.8983451536643026
歌	23	36	8.043478260869565	0.851063829787234
紙	24	35	7.708333333333333	0.8274231678486997
純	25	35	7.4	0.8274231678486997
乳	26	34	7.115384615384616	0.8037825059101655
時	27	34	6.851851851851851	0.8037825059101655
寝	28	34	6.607142857142857	0.8037825059101655
兄	29	33	6.379310344827586	0.7801418439716312
幸	30	32	6.166666666666667	0.7565011820330969
父	31	31	5.967741935483871	0.7328605200945626
自	32	30	5.78125	0.7092198581560284
牛	33	30	5.606060606060606	0.7092198581560284
買	34	30	5.4411764705882355	0.7092198581560284
帰	35	29	5.285714285714286	0.6855791962174941
中	36	28	5.138888888888888	0.6619385342789598
花	37	25	5.0	0.5910165484633569
赤	38	24	4.868421052631579	0.5673758865248227
着	39	23	4.743589743589744	0.5437352245862884
本	40	23	4.625	0.5437352245862884
言	41	23	4.51219512195122	0.5437352245862884
電	42	23	4.404761904761904	0.5437352245862884
汽	43	23	4.3023255813953485	0.5437352245862884
分	44	22	4.204545454545455	0.5200945626477541
上	45	22	4.111111111111112	0.5200945626477541
二	46	22	4.021739130434782	0.5200945626477541
洗	47	21	3.9361702127659575	0.49645390070921985
下	48	21	3.8541666666666665	0.49645390070921985
色	49	21	3.775510204081632	0.49645390070921985
々	50	21	3.7	0.49645390070921985
風	51	20	3.627450980392157	0.4728132387706856
機	52	20	3.557692307692308	0.4728132387706856
話	53	20	3.490566037735849	0.4728132387706856
同	54	20	3.4259259259259256	0.4728132387706856
園	55	19	3.3636363636363633	0.4491725768321513
足	56	19	3.3035714285714284	0.4491725768321513
三	57	19	3.245614035087719	0.4491725768321513
作	58	19	3.189655172413793	0.4491725768321513
気	59	19	3.135593220338983	0.4491725768321513
小	60	19	3.0833333333333335	0.4491725768321513
絵	61	18	3.0327868852459017	0.425531914893617
意	62	18	2.9838709677419355	0.425531914893617
目	63	17	2.9365079365079363	0.40189125295508277
形	64	17	2.890625	0.40189125295508277
動	65	15	2.8461538461538463	0.3546099290780142
方	66	15	2.803030303030303	0.3546099290780142
物	67	15	2.761194029850746	0.3546099290780142
外	68	15	2.7205882352941178	0.3546099290780142
笑	69	15	2.681159420289855	0.3546099290780142
切	70	15	2.642857142857143	0.3546099290780142
痛	71	14	2.6056338028169015	0.3309692671394799
私	72	14	2.569444444444444	0.3309692671394799
菓	73	14	2.5342465753424657	0.3309692671394799
返	74	14	2.5	0.3309692671394799
円	75	14	2.466666666666667	0.3309692671394799
幼	76	13	2.4342105263157894	0.3073286052009456
稚	77	13	2.4025974025974026	0.3073286052009456
眠	78	13	2.371794871794872	0.3073286052009456
服	79	13	2.3417721518987342	0.3073286052009456
金	80	13	2.3125	0.3073286052009456
所	81	13	2.2839506172839505	0.3073286052009456
屋	82	13	2.25609756097561	0.3073286052009456
冷	83	13	2.2289156626506026	0.3073286052009456
甘	84	13	2.202380952380952	0.3073286052009456
福	85	13	2.176470588235294	0.3073286052009456
乗	86	12	2.1511627906976742	0.28368794326241137
雨	87	12	2.1264367816091956	0.28368794326241137
四	88	12	2.1022727272727275	0.28368794326241137
部	89	12	2.0786516853932584	0.28368794326241137
卵	90	11	2.055555555555556	0.26004728132387706
階	91	11	2.0329670329670333	0.26004728132387706
真	92	11	2.010869565217391	0.26004728132387706
知	93	11	1.9892473118279572	0.26004728132387706
黄	94	11	1.9680851063829787	0.26004728132387706
筆	95	11	1.9473684210526316	0.26004728132387706
字	96	11	1.9270833333333333	0.26004728132387706
悪	97	10	1.9072164948453607	0.2364066193853428
今	98	10	1.887755102040816	0.2364066193853428
待	99	10	1.868686868686869	0.2364066193853428
黒	100	10	1.85	0.2364066193853428
鉛	101	10	1.8316831683168318	0.2364066193853428
無	102	10	1.8137254901960784	0.2364066193853428
天	103	10	1.7961165048543688	0.2364066193853428
犬	104	10	1.778846153846154	0.2364066193853428
弟	105	10	1.761904761904762	0.2364066193853428
全	106	10	1.7452830188679245	0.2364066193853428
声	107	10	1.7289719626168223	0.2364066193853428
薬	108	9	1.7129629629629628	0.2127659574468085
昼	109	9	1.6972477064220184	0.2127659574468085
火	110	9	1.6818181818181817	0.2127659574468085
家	111	9	1.6666666666666667	0.2127659574468085
祖	112	9	1.6517857142857142	0.2127659574468085
木	113	9	1.6371681415929202	0.2127659574468085
学	114	9	1.6228070175438596	0.2127659574468085
校	115	9	1.608695652173913	0.2127659574468085
降	116	9	1.5948275862068966	0.2127659574468085
五	117	9	1.5811965811965814	0.2127659574468085
扇	118	8	1.5677966101694916	0.18912529550827423
場	119	8	1.5546218487394958	0.18912529550827423
友	120	8	1.5416666666666667	0.18912529550827423
